Date,Open,High,Low,Close,Volume,OpenInt
2021-10-14,4379.75,4379.75,4379.75,4379.75,0,25
2021-10-15,4423.25,4423.25,4423.25,4423.25,0,250
2021-10-18,4438,4438,4438,4438,0,250
2021-10-19,4470,4470,4470,4470,430,680
2021-10-20,4487,4487,4487,4487,215,895
2021-10-21,4507.75,4507.75,4507.75,4507.75,0,895
2021-10-22,4506,4506,4506,4506,0,895
2021-10-25,4527.75,4527.75,4527.75,4527.75,0,895
2021-10-26,4535,4535,4535,4535,0,895
2021-10-27,4514.5,4514.5,4514.5,4514.5,0,895
2021-10-28,4557.25,4557.25,4557.25,4557.25,0,895
2021-10-29,4566.75,4566.75,4566.75,4566.75,0,895
2021-11-01,4575,4575,4575,4575,0,895
2021-11-02,4592,4592,4592,4592,0,895
2021-11-03,4621,4621,4621,4621,0,895
2021-11-04,4641.25,4641.25,4641.25,4641.25,0,895
2021-11-05,4658,4658,4658,4658,0,895
2021-11-08,4662,4662,4662,4662,0,895
2021-11-09,4645.75,4645.75,4645.75,4645.75,0,895
2021-11-10,4610,4610,4610,4610,0,895
2021-11-11,4612,4612,4612,4646.5,0,895
2021-11-12,4646.5,4646.5,4646.5,4646.5,0,895
2021-11-15,4645.75,4645.75,4645.75,4645.75,0,895
2021-11-16,4676.25,4676.25,4676.25,4676.25,0,895
2021-11-17,4666,4666,4666,4666,0,895
2021-11-18,4680.5,4680.5,4680.5,4673.75,0,895
2021-11-19,4673.75,4673.75,4673.75,4673.75,0,895
2021-11-22,4660.5,4660.5,4660.5,4660.5,0,895
2021-11-23,4673.25,4673.25,4673.25,4673.25,0,895
2021-11-24,4688,4688,4688,4688,0,895
2021-11-26,4575.25,4575.25,4575.25,4575.25,0,895
2021-11-29,4634.75,4634.75,4634.75,4634.75,0,895
2021-11-30,4537.25,4537.25,4537.25,4537.25,0,895
2021-12-01,4498.25,4498.25,4498.25,4498.25,0,895
2021-12-02,4552.75,4560.75,4560.75,4520.75,0,895
2021-12-03,4520.75,4520.75,4520.75,4520.75,0,895
2021-12-06,4575.5,4575.5,4575.5,4575.5,0,895
2021-12-07,4676,4676,4676,4676,0,895
2021-12-08,4691.5,4691.5,4691.5,4691.5,0,895
2021-12-09,4657.75,4657.75,4657.75,4657.75,0,895
2021-12-10,4702.25,4702.25,4702.25,4702.25,0,895
2021-12-13,4650.25,4650.25,4650.25,4650.25,0,895
2021-12-14,4616.75,4616.75,4616.75,4616.75,0,895
2021-12-15,4701.25,4701.25,4701.25,4701.25,0,895
2021-12-16,4661.75,4661.75,4661.75,4604.5,0,895
2021-12-17,4604.5,4604.5,4604.5,4604.5,0,895
2021-12-20,4552,4552,4552,4552,0,895
2021-12-21,4642,4642,4642,4642,0,895
2021-12-22,4687.75,4687.75,4687.75,4719.75,0,895
2021-12-23,4719.75,4719.75,4719.75,4719.75,0,895
2021-12-27,4786.25,4786.25,4786.25,4786.25,0,895
2021-12-28,4774,4774,4774,4774,0,895
